ASIN,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size,PurchasemModel_Color,页面网址
,"







  
  
    Don’t EVER buy a used one
  
",1.0 颗星，最多 5 颗星,Amazon Customer,评论于 2023年1月21日 在美国 🇺🇸 发布,"







  
  
    I bought this from amazons warehouse because it just said “like new” and that *just* the box would be damaged. There were other ones available that stated it was missing a remote or had cosmetic damage. Well guess which one I got…it has huge gauges on it, there’s a bunch of lint/hair in the filter, it’s missing the manual and remote AND I turned it on and it didn’t even work. The only option is to take it to UPS or have UPS come pick it up and then wait 2 weeks for a refund. I can’t attest if it’s a good machine or not because Amazon did me dirty.
  
","颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3
,"







  
  
    Great
  
",4.0 颗星，最多 5 颗星,rod deyo,评论于 2023年1月17日 在美国 🇺🇸 发布,"







  
  
    Keeps my hole down stairs cool
  
","颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3
,"







  
  
    Very Poor Quality
  
",1.0 颗星，最多 5 颗星,Jeanette S,评论于 2023年1月12日 在美国 🇺🇸 发布,"







  
  
    We are very disappointed in this item.  When we bought it, the air conditioning portion worked pretty good.  It is loud but we managed thru that.  When it came time to switch to the heat function a few months later, it does not work and is VERY, VERY loud.  We have tried to get our money back or exchange it.  The company is giving us the run around.  They say a refund check has been mailed but 2 and half weeks later, nothing.  When calling customer service, they tell us we need to wait a bit longer for a new check.  Says the mail can take 3-4 weeks.  What a joke.  A very expensive item.  We just want our money back.
  
","颜色: 黑色//白色尺寸: 14,000 BTU with Heat","颜色: 黑色//白色尺寸: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=4
,"







  
  
    Really useless after 2 uses
  
",1.0 颗星，最多 5 颗星,Reviewer,评论于 2023年1月5日 在美国 🇺🇸 发布,"







  
  
    Avoid by all means. This is a very bad product. It packed up after two uses and less than a year. Midea warranty also the worse to deal with. The try to use phony tactics on the phone to try and blame the user for their terrible product. Don't even buy the heat pump version, it doesn't work. Just wasted my phone on this garbage.
  
","颜色: 黑色//白色尺寸: 14,000 BTU with Heat","颜色: 黑色//白色尺寸: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=4
,"







  
  
    Broken within warranty, repair parts out of stock, still waiting after 4 months
  
",1.0 颗星，最多 5 颗星,Chris,评论于 2022年12月29日 在美国 🇺🇸 发布,"







  
  
    An adapter piece cracked on first use. I tried to have it replaced by the end of the warranty but the part is out of order. Still waiting after 4 months. If the item is broken, don't expect customer service can help. It is now a giant paper weight without the replacement part.
  
","颜色: 黑色//白色尺寸: 12,000 BTU","颜色: 黑色//白色尺寸: 12,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=4
,"







  
  
    Works much better than single hose units.
  
",5.0 颗星，最多 5 颗星,Amazon Customer,评论于 2022年12月28日 在美国 🇺🇸 发布,"







  
  
    Double hose design is fairly heavy and was not easy to snap into frame securely, but efficiency of unit is substantially better than single hose design.
  
","颜色: 黑色//白色尺寸: 12,000 BTU","颜色: 黑色//白色尺寸: 12,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=4
,"







  
  
    Not very useful for heating - might just be a portable AC only and not a duo system
  
",2.0 颗星，最多 5 颗星,Oguns J.,评论于 2022年12月23日 在美国 🇺🇸 发布,"







  
  
    I am not sure this duo portable heater is any good for heating, especially when it starts getting extremely cold (say 20F to 30F). Initially there was no obvious error as to why my heating on this unit suddenly stopped. I got curious to check the mobile app and decided to run a check on the Unit - I found out that there was one abnormal result of the 113 checks that completed.abnormal check - cold wind protection (p9). As there is no useful information on the app, I decided to check online and still nothing, so I'm assuming that the system has somehow disabled the heating feature because it senses cold air entering the unit and hence becoming inoperable (in heating mode) possibly to protect the refrigerant or something
  
","颜色: 黑色//白色尺寸: 14,000 BTU with Heat","颜色: 黑色//白色尺寸: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=4
,"







  
  
    Unit designed to turn off when cold outside.
  
",1.0 颗星，最多 5 颗星,Gregor Mendell,评论于 2022年12月22日 在美国 🇺🇸 发布,"







  
  
    Got this thing in for fall, perfect because it has heating & cooling. We were running around singing the praises of this unit until it started getting colder and the unit starting acting funny. We figured the water tank was full but no luck. Today we called customer support because it just won't work at all and reader, let me tell you I have never been told a crazier thing in my life.The heater won't turn on if it's below 32 degrees outside to ""protect the unit"" - I bought this to protect ME!Now I'm sitting in a drafty, freezing apartment in Chicago during a blizzard. The dang thing is plastic so I can't even break it down to start a fire with it. Thanks, Midea! Now I know why I'm telling people about your brand, rather than hearing about it. Hopefully y'all don't see me hauled off on the news like a caveman frozen in a block of ice.
  
","颜色: 黑色//白色尺寸: 14,000 BTU with Heat","颜色: 黑色//白色尺寸: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=4
,"







  
  
    AC is Great, Heater rarely turned on (despite it being way below the target temperature.
  
",2.0 颗星，最多 5 颗星,Amazon Customer,评论于 2022年12月18日 在美国 🇺🇸 发布,"







  
  
    The AC worked great on this thing, but when the weather turned cooler, the heat worked for about a week, before no longer functioning. I troubleshooted it for a while, to no avail. Very frustrating as I only spent so much money on this unit because it also was a heater :/
  
","颜色: 黑色//白色尺寸: 14,000 BTU with Heat","颜色: 黑色//白色尺寸: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=4
,"







  
  
    Very quiet great for my bedroom
  
",5.0 颗星，最多 5 颗星,Bart T. ,评论于 2022年12月12日 在美国 🇺🇸 发布,"







  
  
    My room is 12x13” and this AC unit works great. It is very quiet and keeps the room at the correct temperature. Only draw back is no heater so it has no use during the winter.
  
","颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=4
,"







  
  
    Beyond amazing, such a luxury
  
",5.0 颗星，最多 5 颗星,briana,评论于 2022年12月8日 在美国 🇺🇸 发布,"







  
  
    This unit is insane, Iove the heat function can't wait to use the AC this summer!! Not sure how much it has affected my bill but will try to come back with an update
  
","颜色: 黑色//白色尺寸: 14,000 BTU with Heat","颜色: 黑色//白色尺寸: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=4
,"







  
  
    Highly effective
  
",5.0 颗星，最多 5 颗星,M. Patient,评论于 2022年11月29日 在美国 🇺🇸 发布,"







  
  
    During a recent failure of our building's central AC, our small server room hit 106 degrees F.  The surrounding rooms were 85 F with no heat on.  Uncomfortable for us and bad for the servers!We put this in there, ducted it to the room's one small window, set it to 80 degrees, and turned it on.An hour later, it was down to 95 F in the server room.  When we returned the next morning, it was 80 degrees in there, and the surrounding rooms were back to 72 F.Disaster averted!Compared to many others, the real advantage of this unit is that the duct is split between intake and outflow.  Meaning it has two loops internally.  One from and to the room and the second from and to the outside.  It exchanges the heat from the room loop to the outside loop and then sends the air from each back where it came from.This means it cools highly efficiently without creating negative pressure in the room by exhausting hot air outside without replacing it.This doesn't cool as much as central AC but costs less to operate.  For those times of year (spring and fall) when we only need AC because of the server room, this may save us money!If this thing can cool 2.5kW of servers and switches, it ought to do a pretty good job in any household application.The one thing I really can't weigh in on is the noise level; that room already has a ""hearing protection required to enter"" sign on the door.If I could change one thing, I would make the included duct longer.  But given our niche use, that's probably not an issue for most people.
  
","颜色: 黑色//白色尺寸: 12,000 BTU","颜色: 黑色//白色尺寸: 12,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=4
,"







  
  
    Easy to set up and use.
  
",5.0 颗星，最多 5 颗星,Deb,评论于 2022年11月29日 在美国 🇺🇸 发布,"







  
  
    We purchased a couple of these portable AC units for guest coming to stay with us and our warmest rooms of the house. The noise level was minimal enough for our guest to sleep, and they slept comfortably as you can raise and lower the temperature.
  
","颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=5
